"Date","Price","Open","High","Low","Change %"
"Aug 08, 2016","1.3155","1.3177","1.3192","1.3135","-0.10%"
"Aug 05, 2016","1.3168","1.3019","1.3202","1.3007","1.16%"
"Aug 04, 2016","1.3017","1.3066","1.3090","1.2995","-0.38%"
"Aug 03, 2016","1.3067","1.3111","1.3148","1.3061","-0.33%"
"Aug 02, 2016","1.3110","1.3125","1.3142","1.3003","-0.10%"
"Aug 01, 2016","1.3123","1.3028","1.3129","1.3026","0.71%"
"Jul 29, 2016","1.3030","1.3156","1.3187","1.3000","-0.96%"
"Jul 28, 2016","1.3156","1.3191","1.3194","1.3099","-0.24%"
"Jul 27, 2016","1.3188","1.3184","1.3253","1.3155","0.00%"
"Jul 26, 2016","1.3188","1.3216","1.3246","1.3173","-0.21%"
"Jul 25, 2016","1.3216","1.3141","1.3244","1.3124","0.69%"
"Jul 22, 2016","1.3125","1.3087","1.3186","1.3053","0.29%"
"Jul 21, 2016","1.3087","1.3060","1.3104","1.3024","0.22%"
"Jul 20, 2016","1.3058","1.3020","1.3095","1.3011","0.29%"
"Jul 19, 2016","1.3020","1.2945","1.3055","1.2939","0.58%"
"Jul 18, 2016","1.2945","1.2947","1.3024","1.2925","-0.20%"
"Jul 15, 2016","1.2971","1.2895","1.2988","1.2860","0.62%"
"Jul 14, 2016","1.2891","1.2976","1.2988","1.2860","-0.67%"
"Jul 13, 2016","1.2978","1.3042","1.3084","1.2938","-0.50%"
"Jul 12, 2016","1.3043","1.3117","1.3133","1.2980","-0.53%"
"Jul 11, 2016","1.3113","1.3046","1.3140","1.3030","0.53%"
"Jul 08, 2016","1.3044","1.3002","1.3091","1.2986","0.32%"
"Jul 07, 2016","1.3003","1.2959","1.3022","1.2875","0.32%"
"Jul 06, 2016","1.2961","1.2980","1.3056","1.2944","-0.15%"
"Jul 05, 2016","1.2980","1.2845","1.3018","1.2841","1.05%"
"Jul 04, 2016","1.2845","1.2915","1.2923","1.2830","-0.56%"
"Jul 01, 2016","1.2917","1.2925","1.2976","1.2861","-0.06%"
"Jun 30, 2016","1.2925","1.2936","1.3017","1.2912","-0.05%"
"Jun 29, 2016","1.2931","1.3025","1.3043","1.2927","-0.71%"
"Jun 28, 2016","1.3023","1.3072","1.3109","1.2961","-0.37%"
"Jun 27, 2016","1.3072","1.2978","1.3121","1.2954","0.51%"
"Jun 24, 2016","1.3006","1.2768","1.3102","1.2720","1.95%"
"Jun 23, 2016","1.2757","1.2845","1.2849","1.2677","-0.67%"
"Jun 22, 2016","1.2843","1.2813","1.2853","1.2740","0.20%"
"Jun 21, 2016","1.2817","1.2806","1.2828","1.2760","0.09%"
"Jun 20, 2016","1.2805","1.2889","1.2893","1.2771","-0.70%"
"Jun 17, 2016","1.2895","1.2968","1.2970","1.2829","-0.56%"
"Jun 16, 2016","1.2968","1.2913","1.3087","1.2893","0.43%"
"Jun 15, 2016","1.2913","1.2873","1.2944","1.2824","0.32%"
"Jun 14, 2016","1.2872","1.2839","1.2874","1.2813","0.29%"
"Jun 13, 2016","1.2835","1.2779","1.2840","1.2749","0.39%"
"Jun 10, 2016","1.2785","1.2724","1.2785","1.2658","0.50%"
"Jun 09, 2016","1.2721","1.2693","1.2767","1.2668","0.20%"
"Jun 08, 2016","1.2695","1.2735","1.2762","1.2653","-0.32%"
"Jun 07, 2016","1.2736","1.2818","1.2839","1.2731","-0.63%"
"Jun 06, 2016","1.2817","1.2938","1.2984","1.2801","-0.90%"
"Jun 03, 2016","1.2934","1.3097","1.3108","1.2913","-1.24%"
"Jun 02, 2016","1.3097","1.3079","1.3145","1.3053","0.15%"
"Jun 01, 2016","1.3077","1.3094","1.3124","1.3042","-0.13%"
"May 31, 2016","1.3094","1.3052","1.3135","1.3014","0.36%"
"May 30, 2016","1.3047","1.3014","1.3095","1.3014","0.22%"
"May 27, 2016","1.3019","1.2979","1.3069","1.2966","0.32%"
"May 26, 2016","1.2978","1.3016","1.3040","1.2909","-0.33%"
"May 25, 2016","1.3021","1.3124","1.3135","1.3013","-0.76%"
"May 24, 2016","1.3121","1.3146","1.3190","1.3085","-0.17%"
"May 23, 2016","1.3143","1.3113","1.3175","1.3098","0.23%"
"May 20, 2016","1.3113","1.3094","1.3163","1.3075","0.15%"
"May 19, 2016","1.3094","1.3034","1.3155","1.3008","0.46%"
"May 18, 2016","1.3034","1.2907","1.3037","1.2892","0.98%"
"May 17, 2016","1.2907","1.2895","1.2956","1.2836","0.09%"
"May 16, 2016","1.2895","1.2925","1.2964","1.2873","-0.36%"
"May 13, 2016","1.2942","1.2845","1.2959","1.2832","0.74%"
"May 12, 2016","1.2847","1.2850","1.2880","1.2770","-0.02%"
"May 11, 2016","1.2850","1.2907","1.2943","1.2828","-0.46%"
"May 10, 2016","1.2910","1.2961","1.2980","1.2904","-0.40%"
