Date,Close,Trend
24/8/2021,1.17549,Sideway
25/8/2021,1.17669,Sideway
26/8/2021,1.17467,Sideway
27/8/2021,1.17937,Sideway
30/8/2021,1.17917,Sideway
31/8/2021,1.18038,Sideway
1/9/2021,1.1834,Sideway
2/9/2021,1.18741,Sideway
3/9/2021,1.18762,Sideway
6/9/2021,1.18648,Sideway
7/9/2021,1.1836,Sideway
8/9/2021,1.18139,Sideway
9/9/2021,1.18209,Sideway
10/9/2021,1.18086,Sideway
13/9/2021,1.18091,Sideway
14/9/2021,1.18034,Sideway
15/9/2021,1.18118,Sideway
16/9/2021,1.17639,Sideway
17/9/2021,1.17238,Sideway
20/9/2021,1.17219,Down
21/9/2021,1.17189,Sideway
22/9/2021,1.16849,Sideway
23/9/2021,1.17352,Sideway
24/9/2021,1.17186,Sideway
27/9/2021,1.16929,Sideway
28/9/2021,1.16794,Sideway
29/9/2021,1.15928,Sideway
30/9/2021,1.15763,Sideway
1/10/2021,1.15912,Sideway
4/10/2021,1.16159,Sideway
5/10/2021,1.15927,Sideway
6/10/2021,1.15519,Sideway
7/10/2021,1.15478,Sideway
8/10/2021,1.15728,Sideway
11/10/2021,1.15462,Sideway
12/10/2021,1.15284,Sideway
13/10/2021,1.15908,Sideway
14/10/2021,1.15949,Sideway
15/10/2021,1.15978,Sideway
18/10/2021,1.16084,Sideway
19/10/2021,1.16295,Sideway
20/10/2021,1.16462,Sideway
21/10/2021,1.16194,Sideway
22/10/2021,1.1642,Sideway
25/10/2021,1.1604,Sideway
26/10/2021,1.1595,Sideway
27/10/2021,1.15964,Sideway
28/10/2021,1.16762,Sideway
29/10/2021,1.15604,Sideway
1/11/2021,1.16029,Sideway
2/11/2021,1.15789,Sideway
3/11/2021,1.16119,Sideway
4/11/2021,1.15534,Sideway
5/11/2021,1.15666,Sideway
8/11/2021,1.15813,Sideway
9/11/2021,1.15885,Sideway
10/11/2021,1.1474,Sideway
11/11/2021,1.14457,Sideway
12/11/2021,1.14427,Down
15/11/2021,1.13647,Sideway
16/11/2021,1.13154,Sideway
17/11/2021,1.13141,Sideway
18/11/2021,1.13704,Down
19/11/2021,1.12797,Sideway
22/11/2021,1.12351,Sideway
23/11/2021,1.12466,Sideway
24/11/2021,1.11941,Down
25/11/2021,1.12044,Sideway
26/11/2021,1.13158,Sideway
29/11/2021,1.12858,Sideway
30/11/2021,1.13339,Sideway
1/12/2021,1.13151,Sideway
2/12/2021,1.12961,Sideway
3/12/2021,1.13059,Sideway
6/12/2021,1.12801,Sideway
7/12/2021,1.12669,Sideway
8/12/2021,1.13416,Sideway
9/12/2021,1.1288,Sideway
10/12/2021,1.13166,Sideway
13/12/2021,1.12784,Sideway
14/12/2021,1.12538,Sideway
15/12/2021,1.12805,Sideway
16/12/2021,1.13259,Sideway
17/12/2021,1.12346,Sideway
20/12/2021,1.12758,Sideway
21/12/2021,1.12762,Sideway
22/12/2021,1.13252,Sideway
23/12/2021,1.1323,Sideway
24/12/2021,1.13104,Sideway
27/12/2021,1.1325,Sideway
28/12/2021,1.13072,Sideway
29/12/2021,1.13447,Sideway
30/12/2021,1.13147,Sideway
31/12/2021,1.13741,Sideway
