"Date","Price","Open","High","Low","Change %"
"Dec 24, 2020","1.6043","1.6090","1.6110","1.6021","-0.22%"
"Dec 23, 2020","1.6079","1.6170","1.6184","1.6059","-0.53%"
"Dec 22, 2020","1.6165","1.6140","1.6236","1.6126","0.19%"
"Dec 21, 2020","1.6134","1.6133","1.6263","1.6073","0.40%"
"Dec 18, 2020","1.6070","1.6095","1.6150","1.6056","-0.13%"
"Dec 17, 2020","1.6091","1.6100","1.6125","1.6004","-0.02%"
"Dec 16, 2020","1.6095","1.6077","1.6149","1.6057","0.15%"
"Dec 15, 2020","1.6071","1.6110","1.6185","1.6063","-0.22%"
"Dec 14, 2020","1.6107","1.6067","1.6132","1.6033","0.21%"
"Dec 11, 2020","1.6073","1.6110","1.6147","1.6037","-0.20%"
"Dec 10, 2020","1.6106","1.6227","1.6269","1.6087","-0.71%"
"Dec 09, 2020","1.6221","1.6329","1.6353","1.6174","-0.63%"
"Dec 08, 2020","1.6324","1.6319","1.6372","1.6300","0.07%"
"Dec 07, 2020","1.6312","1.6312","1.6406","1.6279","-0.04%"
"Dec 04, 2020","1.6319","1.6326","1.6414","1.6301","0.01%"
"Dec 03, 2020","1.6318","1.6336","1.6375","1.6296","-0.07%"
"Dec 02, 2020","1.6329","1.6374","1.6423","1.6315","-0.24%"
"Dec 01, 2020","1.6368","1.6237","1.6389","1.6213","0.82%"
"Nov 30, 2020","1.6235","1.6178","1.6284","1.6159","0.27%"
"Nov 27, 2020","1.6191","1.6178","1.6206","1.6142","0.09%"
"Nov 26, 2020","1.6176","1.6179","1.6219","1.6150","0.01%"
"Nov 25, 2020","1.6175","1.6155","1.6250","1.6137","0.16%"
"Nov 24, 2020","1.6149","1.6253","1.6258","1.6115","-0.61%"
"Nov 23, 2020","1.6248","1.6238","1.6272","1.6187","0.15%"
"Nov 20, 2020","1.6224","1.6292","1.6337","1.6202","-0.37%"
"Nov 19, 2020","1.6284","1.6226","1.6313","1.6215","0.39%"
"Nov 18, 2020","1.6220","1.6249","1.6308","1.6185","-0.12%"
"Nov 17, 2020","1.6239","1.6193","1.6285","1.6173","0.28%"
"Nov 16, 2020","1.6193","1.6306","1.6322","1.6157","-0.50%"
"Nov 13, 2020","1.6275","1.6323","1.6349","1.6261","-0.28%"
"Nov 12, 2020","1.6320","1.6175","1.6339","1.6155","0.92%"
"Nov 11, 2020","1.6171","1.6211","1.6247","1.6139","-0.27%"
"Nov 10, 2020","1.6215","1.6217","1.6287","1.6184","0.02%"
"Nov 09, 2020","1.6211","1.6372","1.6377","1.6202","-0.85%"
"Nov 06, 2020","1.6350","1.6242","1.6379","1.6231","0.70%"
"Nov 05, 2020","1.6237","1.6339","1.6397","1.6227","-0.53%"
"Nov 04, 2020","1.6323","1.6351","1.6510","1.6284","-0.12%"
"Nov 03, 2020","1.6342","1.6502","1.6579","1.6334","-0.93%"
"Nov 02, 2020","1.6495","1.6569","1.6644","1.6483","-0.46%"
"Oct 30, 2020","1.6572","1.6609","1.6647","1.6525","-0.20%"
"Oct 29, 2020","1.6606","1.6673","1.6691","1.6577","-0.38%"
"Oct 28, 2020","1.6669","1.6546","1.6690","1.6457","0.76%"
"Oct 27, 2020","1.6543","1.6579","1.6611","1.6542","-0.19%"
"Oct 26, 2020","1.6574","1.6636","1.6666","1.6531","-0.20%"
"Oct 23, 2020","1.6607","1.6605","1.6669","1.6550","0.05%"
"Oct 22, 2020","1.6599","1.6662","1.6717","1.6592","-0.36%"
"Oct 21, 2020","1.6659","1.6774","1.6786","1.6636","-0.65%"
"Oct 20, 2020","1.6768","1.6652","1.6832","1.6639","0.74%"
"Oct 19, 2020","1.6645","1.6554","1.6675","1.6482","0.60%"
"Oct 16, 2020","1.6546","1.6504","1.6590","1.6495","0.32%"
"Oct 15, 2020","1.6494","1.6402","1.6573","1.6378","0.60%"
"Oct 14, 2020","1.6396","1.6403","1.6423","1.6334","-0.02%"
"Oct 13, 2020","1.6400","1.6386","1.6464","1.6367","0.11%"
"Oct 12, 2020","1.6382","1.6375","1.6401","1.6327","0.32%"
"Oct 09, 2020","1.6329","1.6406","1.6428","1.6324","-0.45%"
"Oct 08, 2020","1.6403","1.6471","1.6514","1.6387","-0.41%"
"Oct 07, 2020","1.6471","1.6514","1.6539","1.6453","-0.22%"
"Oct 06, 2020","1.6508","1.6409","1.6529","1.6362","0.62%"
"Oct 05, 2020","1.6406","1.6388","1.6423","1.6305","0.35%"
"Oct 02, 2020","1.6349","1.6354","1.6428","1.6335","0.00%"
"Oct 01, 2020","1.6349","1.6362","1.6388","1.6312","-0.05%"
"Sep 30, 2020","1.6357","1.6473","1.6517","1.6327","-0.69%"
"Sep 29, 2020","1.6471","1.6499","1.6505","1.6397","-0.13%"
"Sep 28, 2020","1.6493","1.6551","1.6592","1.6471","-0.32%"
"Sep 25, 2020","1.6546","1.6564","1.6582","1.6473","-0.10%"
"Sep 24, 2020","1.6563","1.6478","1.6595","1.6466","0.56%"
"Sep 23, 2020","1.6470","1.6328","1.6497","1.6310","0.92%"
"Sep 22, 2020","1.6320","1.6293","1.6367","1.6253","0.19%"
"Sep 21, 2020","1.6289","1.6243","1.6317","1.6188","0.33%"
"Sep 18, 2020","1.6235","1.6202","1.6257","1.6167","0.23%"
"Sep 17, 2020","1.6198","1.6173","1.6240","1.6120","0.19%"
"Sep 16, 2020","1.6168","1.6223","1.6239","1.6121","-0.31%"
"Sep 15, 2020","1.6219","1.6285","1.6330","1.6173","-0.39%"
"Sep 14, 2020","1.6282","1.6281","1.6339","1.6237","0.14%"
"Sep 11, 2020","1.6259","1.6278","1.6302","1.6228","-0.09%"
"Sep 10, 2020","1.6274","1.6208","1.6322","1.6199","0.44%"
"Sep 09, 2020","1.6203","1.6331","1.6359","1.6200","-0.72%"
"Sep 08, 2020","1.6320","1.6238","1.6341","1.6169","0.54%"
"Sep 07, 2020","1.6232","1.6250","1.6279","1.6221","-0.13%"
"Sep 04, 2020","1.6253","1.6293","1.6334","1.6226","-0.23%"
"Sep 03, 2020","1.6290","1.6154","1.6314","1.6135","0.87%"
"Sep 02, 2020","1.6149","1.6158","1.6217","1.6136","-0.03%"
"Sep 01, 2020","1.6154","1.6182","1.6250","1.6149","-0.16%"
"Aug 31, 2020","1.6180","1.6173","1.6228","1.6142","0.15%"
"Aug 28, 2020","1.6155","1.6274","1.6301","1.6154","-0.77%"
"Aug 27, 2020","1.6280","1.6357","1.6374","1.6270","-0.43%"
"Aug 26, 2020","1.6350","1.6449","1.6461","1.6335","-0.57%"
"Aug 25, 2020","1.6444","1.6466","1.6524","1.6430","-0.07%"
"Aug 24, 2020","1.6455","1.6469","1.6507","1.6434","-0.07%"
"Aug 21, 2020","1.6467","1.6489","1.6509","1.6409","-0.11%"
"Aug 20, 2020","1.6485","1.6485","1.6556","1.6466","0.05%"
"Aug 19, 2020","1.6476","1.6472","1.6502","1.6411","0.04%"
"Aug 18, 2020","1.6469","1.6453","1.6534","1.6435","0.13%"
"Aug 17, 2020","1.6448","1.6509","1.6543","1.6432","-0.36%"
"Aug 14, 2020","1.6508","1.6524","1.6554","1.6487","-0.05%"
"Aug 13, 2020","1.6516","1.6458","1.6541","1.6431","0.43%"
"Aug 12, 2020","1.6446","1.6436","1.6522","1.6415","0.09%"
"Aug 11, 2020","1.6432","1.6416","1.6452","1.6349","0.12%"
"Aug 10, 2020","1.6412","1.6459","1.6483","1.6394","-0.31%"
"Aug 07, 2020","1.6463","1.6415","1.6483","1.6381","0.35%"
"Aug 06, 2020","1.6406","1.6494","1.6525","1.6386","-0.51%"
"Aug 05, 2020","1.6490","1.6481","1.6507","1.6403","0.08%"
"Aug 04, 2020","1.6477","1.6512","1.6544","1.6431","-0.18%"
"Aug 03, 2020","1.6507","1.6489","1.6563","1.6458","0.13%"
"Jul 31, 2020","1.6485","1.6468","1.6533","1.6449","0.13%"
"Jul 30, 2020","1.6464","1.6412","1.6552","1.6386","0.40%"
"Jul 29, 2020","1.6398","1.6368","1.6446","1.6336","0.21%"
"Jul 28, 2020","1.6363","1.6438","1.6468","1.6356","-0.43%"
"Jul 27, 2020","1.6433","1.6399","1.6501","1.6379","0.20%"
"Jul 24, 2020","1.6400","1.6338","1.6440","1.6299","0.42%"
"Jul 23, 2020","1.6332","1.6211","1.6351","1.6180","0.85%"
"Jul 22, 2020","1.6195","1.6174","1.6240","1.6099","0.16%"
"Jul 21, 2020","1.6169","1.6321","1.6330","1.6112","-0.89%"
"Jul 20, 2020","1.6314","1.6336","1.6410","1.6291","-0.06%"
"Jul 17, 2020","1.6323","1.6328","1.6393","1.6283","-0.01%"
"Jul 16, 2020","1.6324","1.6283","1.6353","1.6273","0.28%"
"Jul 15, 2020","1.6279","1.6344","1.6363","1.6247","-0.35%"
"Jul 14, 2020","1.6336","1.6341","1.6407","1.6312","-0.01%"
"Jul 13, 2020","1.6337","1.6251","1.6352","1.6220","0.51%"
"Jul 10, 2020","1.6254","1.6202","1.6296","1.6197","0.33%"
"Jul 09, 2020","1.6201","1.6223","1.6278","1.6195","-0.12%"
"Jul 08, 2020","1.6221","1.6227","1.6286","1.6216","0.01%"
"Jul 07, 2020","1.6220","1.6220","1.6285","1.6171","0.03%"
"Jul 06, 2020","1.6215","1.6207","1.6258","1.6174","0.15%"
"Jul 03, 2020","1.6191","1.6236","1.6252","1.6170","-0.25%"
"Jul 02, 2020","1.6231","1.6272","1.6308","1.6216","-0.22%"
"Jul 01, 2020","1.6266","1.6272","1.6304","1.6207","-0.01%"
"Jun 30, 2020","1.6267","1.6375","1.6408","1.6262","-0.64%"
"Jun 29, 2020","1.6371","1.6356","1.6449","1.6322","0.21%"
"Jun 26, 2020","1.6337","1.6294","1.6376","1.6271","0.31%"
"Jun 25, 2020","1.6286","1.6379","1.6419","1.6281","-0.55%"
"Jun 24, 2020","1.6376","1.6317","1.6420","1.6261","0.37%"
"Jun 23, 2020","1.6315","1.6301","1.6385","1.6241","0.12%"
"Jun 22, 2020","1.6295","1.6350","1.6454","1.6263","-0.32%"
"Jun 19, 2020","1.6347","1.6355","1.6377","1.6255","0.01%"
"Jun 18, 2020","1.6346","1.6332","1.6426","1.6304","0.12%"
"Jun 17, 2020","1.6327","1.6343","1.6431","1.6218","-0.07%"
"Jun 16, 2020","1.6338","1.6364","1.6434","1.6244","-0.14%"
"Jun 15, 2020","1.6361","1.6445","1.6577","1.6343","-0.18%"
"Jun 12, 2020","1.6391","1.6483","1.6590","1.6372","-0.53%"
"Jun 11, 2020","1.6478","1.6249","1.6565","1.6242","1.44%"
"Jun 10, 2020","1.6244","1.6291","1.6353","1.6158","-0.26%"
"Jun 09, 2020","1.6286","1.6092","1.6330","1.6063","1.26%"
"Jun 08, 2020","1.6083","1.6197","1.6233","1.6071","-0.65%"
"Jun 05, 2020","1.6189","1.6329","1.6362","1.6163","-0.83%"
"Jun 04, 2020","1.6325","1.6233","1.6368","1.6204","0.60%"
"Jun 03, 2020","1.6227","1.6199","1.6320","1.6030","0.19%"
"Jun 02, 2020","1.6196","1.6382","1.6421","1.6185","-1.10%"
"Jun 01, 2020","1.6376","1.6662","1.6734","1.6359","-1.61%"
"May 29, 2020","1.6644","1.6690","1.6778","1.6631","-0.25%"
"May 28, 2020","1.6686","1.6621","1.6710","1.6580","0.42%"
"May 27, 2020","1.6616","1.6511","1.6721","1.6437","0.68%"
"May 26, 2020","1.6504","1.6657","1.6673","1.6462","-0.88%"
"May 25, 2020","1.6650","1.6728","1.6730","1.6631","-0.14%"
"May 22, 2020","1.6673","1.6679","1.6767","1.6649","-0.01%"
"May 21, 2020","1.6675","1.6640","1.6741","1.6631","0.25%"
"May 20, 2020","1.6634","1.6707","1.6765","1.6612","-0.42%"
"May 19, 2020","1.6704","1.6730","1.6775","1.6626","-0.12%"
"May 18, 2020","1.6724","1.6834","1.6878","1.6688","-0.78%"
"May 15, 2020","1.6856","1.6721","1.6896","1.6690","0.83%"
"May 14, 2020","1.6717","1.6760","1.6845","1.6700","-0.21%"
"May 13, 2020","1.6753","1.6759","1.6818","1.6664","-0.05%"
"May 12, 2020","1.6761","1.6653","1.6777","1.6600","0.68%"
"May 11, 2020","1.6648","1.6607","1.6746","1.6530","0.30%"
"May 08, 2020","1.6598","1.6681","1.6693","1.6571","-0.44%"
"May 07, 2020","1.6672","1.6865","1.6929","1.6609","-1.12%"
"May 06, 2020","1.6860","1.6851","1.6884","1.6760","0.12%"
"May 05, 2020","1.6840","1.6967","1.6990","1.6779","-0.74%"
"May 04, 2020","1.6966","1.7101","1.7200","1.6940","-0.78%"
"May 01, 2020","1.7099","1.6827","1.7145","1.6813","1.64%"
