Date,Price,Open,High,Low,Vol.,Change %
"Jun 26, 2020",358.32,361.19,364.98,358.15,200.17M,-0.39%
"Jun 25, 2020",359.74,356.79,360.46,352.68,244.57M,0.72%
"Jun 24, 2020",357.17,366.6,366.6,357.17,225.96M,-2.78%
"Jun 23, 2020",367.4,363.91,368.47,363.91,223.62M,1.30%
"Jun 22, 2020",362.7,364.25,366.51,361.41,207.06M,-0.76%
"Jun 19, 2020",365.46,364.46,367.47,364.46,508.13M,0.56%
"Jun 18, 2020",363.41,365.19,367.31,361.51,257.89M,-0.71%
"Jun 17, 2020",366.02,363.03,367.45,363.03,260.80M,0.74%
"Jun 16, 2020",363.33,355.32,366.62,355.32,319.79M,2.90%
"Jun 15, 2020",353.09,350.54,354.3,344.91,259.22M,-0.27%
"Jun 12, 2020",354.06,351.77,358.85,349.22,295.86M,0.28%
"Jun 11, 2020",353.07,364.98,364.98,353.07,345.74M,-4.10%
"Jun 10, 2020",368.15,370.17,373.03,367,309.54M,-0.38%
"Jun 09, 2020",369.54,374.56,374.98,368.13,366.50M,-1.22%
"Jun 08, 2020",374.12,374.44,375.52,371.41,371.23M,-0.32%
"Jun 05, 2020",375.32,367.54,375.4,367.54,407.20M,2.48%
"Jun 04, 2020",366.25,367.69,369.48,364.57,337.33M,-0.72%
"Jun 03, 2020",368.92,360.78,369.09,360.78,364.91M,2.54%
"Jun 02, 2020",359.77,355.97,360.61,355.97,322.72M,1.57%
"Jun 01, 2020",354.2,351.83,354.37,351.69,251.69M,1.10%
"May 29, 2020",350.36,354,354,349.78,580.55M,-1.44%
"May 28, 2020",355.47,350.85,356.05,350.85,322.52M,1.64%
"May 27, 2020",349.75,349.42,352.75,347.41,407.51M,0.24%
"May 26, 2020",348.92,347.01,349.72,347.01,314.65M,1.08%
"May 25, 2020",345.18,340.98,345.18,340.98,85.56M,1.47%
"May 22, 2020",340.17,338.7,340.83,334.57,253.88M,-0.03%
"May 21, 2020",340.26,341.42,342.89,339.28,252.97M,-0.75%
"May 20, 2020",342.82,338.82,343.05,336.88,286.04M,0.98%
"May 19, 2020",339.49,342.27,343.27,337.44,329.49M,-0.61%
"May 18, 2020",341.59,330.7,341.82,330.7,242.58M,4.07%
"May 15, 2020",328.24,328.23,331.72,327.3,239.37M,0.47%
"May 14, 2020",326.71,332.44,332.44,322.87,289.34M,-2.17%
"May 13, 2020",333.97,338.8,338.8,333.76,259.09M,-1.94%
"May 12, 2020",340.57,338.91,341.61,338.38,225.19M,0.26%
"May 11, 2020",339.7,342.1,343.38,337.07,230.69M,-0.40%
"May 08, 2020",341.05,339.09,341.13,339.09,88.06M,0.91%
"May 07, 2020",337.98,334.81,338.2,334.81,232.30M,1.09%
"May 06, 2020",334.34,335.77,337.38,333.87,235.99M,-0.35%
"May 05, 2020",335.5,330.68,335.5,330.68,250.57M,2.15%
"May 04, 2020",328.44,334.9,334.9,327.47,280.68M,-2.65%
"May 01, 2020",337.39,338.71,338.71,337.11,278.30M,-0.78%
"Apr 30, 2020",340.03,347.67,349.22,339.62,406.68M,-2.03%
"Apr 29, 2020",347.06,341.39,347.21,340.4,307.40M,1.75%
"Apr 28, 2020",341.09,335.76,342.83,335.56,297.91M,1.68%
"Apr 27, 2020",335.44,331.82,335.88,331.82,203.32M,1.77%
"Apr 24, 2020",329.59,331.56,332.92,328.42,216.93M,-1.10%
"Apr 23, 2020",333.24,330.94,335.32,328.63,230.04M,0.94%
