,Date,Close
447,2016-09-19,43.25
448,2016-09-20,43.44
449,2016-09-21,45.63
450,2016-09-22,46.09
451,2016-09-23,44.61
452,2016-09-26,45.64
453,2016-09-27,44.92
454,2016-09-28,47.17
455,2016-09-29,47.73
456,2016-09-30,48.05
457,2016-10-03,48.66
458,2016-10-04,49.2
459,2016-10-05,49.69
460,2016-10-06,50.59
461,2016-10-07,49.62
462,2016-10-10,51.14
463,2016-10-11,50.84
464,2016-10-12,50.03
465,2016-10-13,50.52
466,2016-10-14,50.33
467,2016-10-17,50.06
468,2016-10-18,50.75
469,2016-10-19,51.72
470,2016-10-20,50.43
471,2016-10-21,50.95
472,2016-10-24,50.46
473,2016-10-25,49.33
474,2016-10-26,49.19
475,2016-10-27,49.61
476,2016-10-28,48.66
477,2016-10-31,46.72
478,2016-11-01,46.39
479,2016-11-02,45.49
480,2016-11-03,44.65
481,2016-11-04,44.14
482,2016-11-07,44.95
483,2016-11-08,44.83
484,2016-11-09,45.34
485,2016-11-10,44.32
486,2016-11-11,43.16
487,2016-11-14,43.71
488,2016-11-15,45.77
489,2016-11-16,45.36
490,2016-11-17,44.94
491,2016-11-18,45.5
492,2016-11-21,47.49
493,2016-11-22,47.87
494,2016-11-23,47.94
495,2016-11-24,47.94
496,2016-11-25,45.96
497,2016-11-28,46.92
498,2016-11-29,45.27
499,2016-11-30,49.0
500,2016-12-01,50.87
501,2016-12-02,51.67
502,2016-12-05,50.96
503,2016-12-06,50.91
504,2016-12-07,49.85
505,2016-12-08,50.93
506,2016-12-09,51.48
507,2016-12-12,52.42
508,2016-12-13,52.45
509,2016-12-14,50.78
510,2016-12-15,51.06
511,2016-12-16,52.03
512,2016-12-19,52.03
513,2016-12-20,52.23
514,2016-12-21,52.5
515,2016-12-22,52.64
516,2016-12-23,53.24
517,2016-12-26,53.24
518,2016-12-27,53.85
519,2016-12-28,53.66
520,2016-12-29,53.86
521,2016-12-30,53.89
522,2017-01-02,53.89
523,2017-01-03,52.48
524,2017-01-04,53.35
525,2017-01-05,53.76
526,2017-01-06,53.69
527,2017-01-09,51.77
528,2017-01-10,50.77
529,2017-01-11,52.39
530,2017-01-12,53.05
531,2017-01-13,52.53
532,2017-01-16,52.53
533,2017-01-17,52.53
534,2017-01-18,51.44
535,2017-01-19,51.47
536,2017-01-20,52.48
537,2017-01-23,52.84
538,2017-01-24,52.92
539,2017-01-25,52.94
540,2017-01-26,53.73
541,2017-01-27,53.17
542,2017-01-30,52.6
543,2017-01-31,52.8
544,2017-02-01,53.55
545,2017-02-02,53.7
546,2017-02-03,53.84
547,2017-02-06,53.12
548,2017-02-07,51.69
549,2017-02-08,52.39
550,2017-02-09,53.16
551,2017-02-10,53.84
552,2017-02-13,52.88
553,2017-02-14,53.03
554,2017-02-15,53.01
555,2017-02-16,53.43
556,2017-02-17,53.38
557,2017-02-20,53.38
558,2017-02-21,54.06
559,2017-02-22,53.88
560,2017-02-23,54.39
561,2017-02-24,54.0
562,2017-02-27,54.03
563,2017-02-28,53.99
564,2017-03-01,53.67
565,2017-03-02,52.59
566,2017-03-03,53.2
567,2017-03-06,53.18
568,2017-03-07,52.77
569,2017-03-08,50.19
570,2017-03-09,49.62
571,2017-03-10,48.38
572,2017-03-13,48.44
573,2017-03-14,48.48
574,2017-03-15,48.98
575,2017-03-16,48.8
576,2017-03-17,48.68
577,2017-03-20,48.2
578,2017-03-21,47.34
579,2017-03-22,48.12
580,2017-03-23,47.67
581,2017-03-24,48.13
582,2017-03-27,47.84
583,2017-03-28,48.45
584,2017-03-29,49.6
585,2017-03-30,50.36
586,2017-03-31,50.79
587,2017-04-03,50.24
588,2017-04-04,51.1
589,2017-04-05,50.84
590,2017-04-06,51.74
591,2017-04-07,52.33
592,2017-04-10,53.15
593,2017-04-11,53.41
594,2017-04-12,52.84
595,2017-04-13,52.93
596,2017-04-14,52.93
597,2017-04-17,52.73
598,2017-04-18,52.33
599,2017-04-19,50.62
600,2017-04-20,50.27
601,2017-04-21,49.63
602,2017-04-24,49.2
603,2017-04-25,49.38
604,2017-04-26,49.18
605,2017-04-27,49.23
606,2017-04-28,49.2
607,2017-05-01,48.73
608,2017-05-02,48.06
609,2017-05-03,47.56
610,2017-05-04,45.48
611,2017-05-05,46.47
612,2017-05-08,46.5
613,2017-05-09,46.18
614,2017-05-10,47.34
615,2017-05-11,47.81
616,2017-05-12,47.86
617,2017-05-15,48.82
618,2017-05-16,48.25
619,2017-05-17,48.94
620,2017-05-18,49.36
621,2017-05-19,50.49
622,2017-05-22,50.73
623,2017-05-23,51.51
624,2017-05-24,51.3
625,2017-05-25,48.67
626,2017-05-26,49.84
627,2017-05-29,49.84
628,2017-05-30,49.61
629,2017-05-31,48.63
630,2017-06-01,48.01
631,2017-06-02,47.77
632,2017-06-05,47.4
633,2017-06-06,47.98
634,2017-06-07,45.77
635,2017-06-08,45.69
636,2017-06-09,45.94
