,Date,Open,High,Low,Close
1072,2019-02-11,1.13181,1.13293,1.12665,1.12746
1073,2019-02-12,1.1274,1.13389,1.12569,1.13241
1074,2019-02-13,1.13231,1.13407,1.12592,1.12592
1075,2019-02-14,1.12585,1.1309,1.12484,1.12937
1076,2019-02-15,1.12927,1.13054,1.12334,1.12903
1077,2019-02-18,1.12905,1.13331,1.1288,1.13079
1078,2019-02-19,1.13074,1.13568,1.12748,1.13391
1079,2019-02-20,1.13391,1.13704,1.13243,1.13346
1080,2019-02-21,1.13353,1.13657,1.13183,1.13328
1081,2019-02-22,1.13327,1.13549,1.13154,1.13299
1082,2019-02-25,1.1333,1.13669,1.13273,1.13562
1083,2019-02-26,1.13559,1.14019,1.13445,1.13875
1084,2019-02-27,1.13876,1.14028,1.13616,1.13684
1085,2019-02-28,1.13685,1.14188,1.13585,1.13677
1086,2019-03-01,1.13693,1.14078,1.13526,1.1362
1087,2019-03-04,1.13794,1.13811,1.13083,1.13368
1088,2019-03-05,1.13383,1.13399,1.12888,1.13066
1089,2019-03-06,1.13063,1.13239,1.12846,1.13051
1090,2019-03-07,1.13047,1.13195,1.11753,1.11923
1091,2019-03-08,1.11922,1.12454,1.11845,1.12321
1092,2019-03-11,1.12329,1.12577,1.12211,1.12482
1093,2019-03-12,1.12481,1.13041,1.12466,1.12869
1094,2019-03-13,1.1287,1.13378,1.12766,1.13297
1095,2019-03-14,1.13297,1.13369,1.12934,1.13036
1096,2019-03-15,1.13037,1.13435,1.12991,1.13233
1097,2019-03-18,1.13213,1.13583,1.13183,1.13345
1098,2019-03-19,1.13343,1.1361,1.1333,1.13487
1099,2019-03-20,1.13489,1.14474,1.13348,1.14234
1100,2019-03-21,1.14234,1.14368,1.13418,1.13726
1101,2019-03-22,1.13725,1.139,1.12723,1.13003
1102,2019-03-25,1.1293,1.13306,1.1288,1.13123
1103,2019-03-26,1.13124,1.13252,1.12623,1.12696
1104,2019-03-27,1.12695,1.12849,1.12414,1.12508
1105,2019-03-28,1.12506,1.12604,1.12129,1.12252
1106,2019-03-29,1.12256,1.1246,1.12091,1.1216
1107,2019-04-01,1.12265,1.12492,1.12032,1.12115
1108,2019-04-02,1.12114,1.12153,1.1183,1.12029
1109,2019-04-03,1.12034,1.12539,1.11996,1.12314
1110,2019-04-04,1.12312,1.12469,1.12052,1.1219
1111,2019-04-05,1.12187,1.12448,1.12094,1.1215
1112,2019-04-08,1.12147,1.12737,1.12106,1.126
1113,2019-04-09,1.12609,1.12835,1.12545,1.12606
1114,2019-04-10,1.12599,1.12867,1.12288,1.12724
1115,2019-04-11,1.12725,1.12867,1.12492,1.12504
1116,2019-04-12,1.12514,1.13231,1.12513,1.12977
1117,2019-04-15,1.13029,1.13202,1.12968,1.13023
1118,2019-04-16,1.13024,1.13132,1.12791,1.12793
1119,2019-04-17,1.12789,1.13229,1.12781,1.12932
1120,2019-04-18,1.12923,1.13033,1.12255,1.12287
1121,2019-04-19,1.12277,1.12469,1.12269,1.1241
1122,2019-04-22,1.1242,1.12613,1.12351,1.12561
1123,2019-04-23,1.12559,1.12605,1.11916,1.12264
1124,2019-04-24,1.12255,1.12257,1.11399,1.11514
1125,2019-04-25,1.11524,1.11618,1.11167,1.11289
1126,2019-04-26,1.1129,1.11733,1.11103,1.11426
1127,2019-04-29,1.11438,1.11862,1.11434,1.11835
1128,2019-04-30,1.11835,1.12285,1.1175,1.12134
1129,2019-05-01,1.12128,1.1264,1.11865,1.11945
1130,2019-05-02,1.11939,1.12183,1.11699,1.11704
1131,2019-05-03,1.11706,1.1204,1.11342,1.12019
1132,2019-05-06,1.1173,1.12085,1.11687,1.11979
1133,2019-05-07,1.11956,1.12172,1.11658,1.11909
1134,2019-05-08,1.11888,1.1213,1.11821,1.119
1135,2019-05-09,1.11893,1.12502,1.11727,1.12125
1136,2019-05-10,1.12113,1.12528,1.12113,1.1233
1137,2019-05-13,1.1232,1.12626,1.12205,1.12205
1138,2019-05-14,1.12203,1.12432,1.12005,1.12029
1139,2019-05-15,1.12024,1.12237,1.11772,1.11993
1140,2019-05-16,1.11999,1.12232,1.11655,1.11725
1141,2019-05-17,1.11726,1.11836,1.11545,1.11559
1142,2019-05-20,1.11592,1.11741,1.11498,1.11648
1143,2019-05-21,1.11645,1.11873,1.11413,1.11593
1144,2019-05-22,1.1156,1.11797,1.11479,1.11489
1145,2019-05-23,1.11488,1.11867,1.11064,1.11799
1146,2019-05-24,1.118,1.12113,1.1171,1.12044
1147,2019-05-27,1.12084,1.12144,1.11861,1.11908
1148,2019-05-28,1.11926,1.11976,1.11585,1.1159
1149,2019-05-29,1.11596,1.11717,1.11235,1.11301
1150,2019-05-30,1.11297,1.11427,1.11153,1.1128
1151,2019-05-31,1.11275,1.1179,1.11245,1.11673
1152,2019-06-03,1.11624,1.12613,1.11595,1.12389
1153,2019-06-04,1.12395,1.12766,1.1226,1.12508
1154,2019-06-05,1.12495,1.13059,1.12189,1.12198
1155,2019-06-06,1.12194,1.13081,1.11997,1.12745
1156,2019-06-07,1.12745,1.1347,1.12505,1.13319
1157,2019-06-10,1.13217,1.13299,1.12891,1.13099
1158,2019-06-11,1.13099,1.13367,1.13007,1.13244
1159,2019-06-12,1.13243,1.13426,1.12815,1.12859
1160,2019-06-13,1.12854,1.1303,1.12676,1.12753
1161,2019-06-14,1.12749,1.12884,1.12017,1.12098
1162,2019-06-17,1.12082,1.12462,1.12029,1.12165
